Series ID,Year,Period,Label,Value
APU0000717311,2020,M01,2020 Jan,4.174
APU0000717311,2020,M02,2020 Feb,4.250
APU0000717311,2020,M03,2020 Mar,4.334
APU0000717311,2020,M04,2020 Apr,4.396
APU0000717311,2020,M05,2020 May,4.466
APU0000717311,2020,M06,2020 Jun,4.517
APU0000717311,2020,M07,2020 Jul,4.536
APU0000717311,2020,M08,2020 Aug,4.504
APU0000717311,2020,M09,2020 Sep,4.487
APU0000717311,2020,M10,2020 Oct,4.522
APU0000717311,2020,M11,2020 Nov,4.485
APU0000717311,2020,M12,2020 Dec,4.520
APU0000717311,2021,M01,2021 Jan,4.591
APU0000717311,2021,M02,2021 Feb,4.673
APU0000717311,2021,M03,2021 Mar,4.671
APU0000717311,2021,M04,2021 Apr,4.752
APU0000717311,2021,M05,2021 May,4.566
APU0000717311,2021,M06,2021 Jun,4.605
APU0000717311,2021,M07,2021 Jul,4.562
APU0000717311,2021,M08,2021 Aug,4.726
APU0000717311,2021,M09,2021 Sep,4.733
APU0000717311,2021,M10,2021 Oct,4.800
APU0000717311,2021,M11,2021 Nov,4.816
APU0000717311,2021,M12,2021 Dec,4.965
APU0000717311,2022,M01,2022 Jan,5.135
APU0000717311,2022,M02,2022 Feb,5.247
APU0000717311,2022,M03,2022 Mar,5.410
APU0000717311,2022,M04,2022 Apr,5.529
APU0000717311,2022,M05,2022 May,5.835
APU0000717311,2022,M06,2022 Jun,5.793
APU0000717311,2022,M07,2022 Jul,6.112
APU0000717311,2022,M08,2022 Aug,6.235
APU0000717311,2022,M09,2022 Sep,6.170
APU0000717311,2022,M10,2022 Oct,6.408
APU0000717311,2022,M11,2022 Nov,6.356
APU0000717311,2022,M12,2022 Dec,6.465
APU0000717311,2023,M01,2023 Jan,6.358
APU0000717311,2023,M02,2023 Feb,6.351
APU0000717311,2023,M03,2023 Mar,6.184
APU0000717311,2023,M04,2023 Apr,6.040
APU0000717311,2023,M05,2023 May,6.094
APU0000717311,2023,M06,2023 Jun,6.091
APU0000717311,2023,M07,2023 Jul,6.141
APU0000717311,2023,M08,2023 Aug,6.091
APU0000717311,2023,M09,2023 Sep,6.085
APU0000717311,2023,M10,2023 Oct,6.178
APU0000717311,2023,M11,2023 Nov,6.169
APU0000717311,2023,M12,2023 Dec,6.092
APU0000717311,2024,M01,2024 Jan,6.124
APU0000717311,2024,M02,2024 Feb,6.094
APU0000717311,2024,M03,2024 Mar,5.964
APU0000717311,2024,M04,2024 Apr,6.063
