Series ID,Year,Period,Label,Value
APU0000708111,2020,M01,2020 Jan,1.461
APU0000708111,2020,M02,2020 Feb,1.449
APU0000708111,2020,M03,2020 Mar,1.525
APU0000708111,2020,M04,2020 Apr,2.019
APU0000708111,2020,M05,2020 May,1.640
APU0000708111,2020,M06,2020 Jun,1.554
APU0000708111,2020,M07,2020 Jul,1.401
APU0000708111,2020,M08,2020 Aug,1.328
APU0000708111,2020,M09,2020 Sep,1.353
APU0000708111,2020,M10,2020 Oct,1.408
APU0000708111,2020,M11,2020 Nov,1.450
APU0000708111,2020,M12,2020 Dec,1.481
APU0000708111,2021,M01,2021 Jan,1.466
APU0000708111,2021,M02,2021 Feb,1.597
APU0000708111,2021,M03,2021 Mar,1.625
APU0000708111,2021,M04,2021 Apr,1.620
APU0000708111,2021,M05,2021 May,1.625
APU0000708111,2021,M06,2021 Jun,1.642
APU0000708111,2021,M07,2021 Jul,1.642
APU0000708111,2021,M08,2021 Aug,1.709
APU0000708111,2021,M09,2021 Sep,1.835
APU0000708111,2021,M10,2021 Oct,1.821
APU0000708111,2021,M11,2021 Nov,1.718
APU0000708111,2021,M12,2021 Dec,1.788
APU0000708111,2022,M01,2022 Jan,1.929
APU0000708111,2022,M02,2022 Feb,2.005
APU0000708111,2022,M03,2022 Mar,2.046
APU0000708111,2022,M04,2022 Apr,2.520
APU0000708111,2022,M05,2022 May,2.863
APU0000708111,2022,M06,2022 Jun,2.707
APU0000708111,2022,M07,2022 Jul,2.936
APU0000708111,2022,M08,2022 Aug,3.116
APU0000708111,2022,M09,2022 Sep,2.902
APU0000708111,2022,M10,2022 Oct,3.419
APU0000708111,2022,M11,2022 Nov,3.589
APU0000708111,2022,M12,2022 Dec,4.250
APU0000708111,2023,M01,2023 Jan,4.823
APU0000708111,2023,M02,2023 Feb,4.211
APU0000708111,2023,M03,2023 Mar,3.446
APU0000708111,2023,M04,2023 Apr,3.270
APU0000708111,2023,M05,2023 May,2.666
APU0000708111,2023,M06,2023 Jun,2.219
APU0000708111,2023,M07,2023 Jul,2.094
APU0000708111,2023,M08,2023 Aug,2.043
APU0000708111,2023,M09,2023 Sep,2.065
APU0000708111,2023,M10,2023 Oct,2.072
APU0000708111,2023,M11,2023 Nov,2.138
APU0000708111,2023,M12,2023 Dec,2.507
APU0000708111,2024,M01,2024 Jan,2.522
APU0000708111,2024,M02,2024 Feb,2.996
APU0000708111,2024,M03,2024 Mar,2.992
APU0000708111,2024,M04,2024 Apr,2.864
