Series ID,Year,Period,Label,Value
APU0000711311,2020,M01,2020 Jan,1.244
APU0000711311,2020,M02,2020 Feb,1.218
APU0000711311,2020,M03,2020 Mar,1.174
APU0000711311,2020,M05,2020 May,1.209
APU0000711311,2020,M06,2020 Jun,1.296
APU0000711311,2020,M12,2020 Dec,1.329
APU0000711311,2021,M01,2021 Jan,1.303
APU0000711311,2021,M02,2021 Feb,1.321
APU0000711311,2021,M03,2021 Mar,1.266
APU0000711311,2021,M04,2021 Apr,1.320
APU0000711311,2021,M05,2021 May,1.317
APU0000711311,2021,M06,2021 Jun,1.354
APU0000711311,2021,M10,2021 Oct,1.490
APU0000711311,2021,M11,2021 Nov,1.440
APU0000711311,2021,M12,2021 Dec,1.448
APU0000711311,2022,M01,2022 Jan,1.427
APU0000711311,2022,M02,2022 Feb,1.445
APU0000711311,2022,M03,2022 Mar,1.480
APU0000711311,2022,M04,2022 Apr,1.505
APU0000711311,2022,M05,2022 May,1.546
APU0000711311,2022,M06,2022 Jun,1.600
APU0000711311,2022,M08,2022 Aug,1.703
APU0000711311,2022,M09,2022 Sep,1.730
APU0000711311,2022,M10,2022 Oct,1.730
APU0000711311,2022,M11,2022 Nov,1.641
APU0000711311,2022,M12,2022 Dec,1.485
APU0000711311,2023,M01,2023 Jan,1.514
APU0000711311,2023,M02,2023 Feb,1.549
APU0000711311,2023,M03,2023 Mar,1.509
APU0000711311,2023,M04,2023 Apr,1.530
APU0000711311,2023,M05,2023 May,1.512
APU0000711311,2023,M06,2023 Jun,1.535
APU0000711311,2023,M07,2023 Jul,1.591
APU0000711311,2023,M08,2023 Aug,1.623
APU0000711311,2023,M09,2023 Sep,1.637
APU0000711311,2023,M10,2023 Oct,1.693
APU0000711311,2023,M11,2023 Nov,1.664
APU0000711311,2023,M12,2023 Dec,1.601
APU0000711311,2024,M01,2024 Jan,1.550
APU0000711311,2024,M02,2024 Feb,1.532
APU0000711311,2024,M03,2024 Mar,1.516
APU0000711311,2024,M04,2024 Apr,1.475
