location,iso_code,date,daily_people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Poland,POL,2020-12-28,,
Poland,POL,2020-12-29,0.011,
Poland,POL,2020-12-30,0.043,
Poland,POL,2020-12-31,0.038,
Poland,POL,2021-01-01,0.029,
Poland,POL,2021-01-02,0.024,
Poland,POL,2021-01-03,0.02,
Poland,POL,2021-01-04,0.032,
Poland,POL,2021-01-05,0.048,
Poland,POL,2021-01-06,0.044,
Poland,POL,2021-01-07,0.051,
Poland,POL,2021-01-08,0.054,
Poland,POL,2021-01-09,0.054,
Poland,POL,2021-01-10,0.055,
Poland,POL,2021-01-11,0.059,
Poland,POL,2021-01-12,0.061,
Poland,POL,2021-01-13,0.075,
Poland,POL,2021-01-14,0.079,
Poland,POL,2021-01-15,0.085,
Poland,POL,2021-01-16,0.092,
Poland,POL,2021-01-17,0.095,0.0
Poland,POL,2021-01-18,0.084,0.01
Poland,POL,2021-01-19,0.079,0.03
Poland,POL,2021-01-20,0.071,0.06
Poland,POL,2021-01-21,0.07,0.1
Poland,POL,2021-01-22,0.072,0.11
Poland,POL,2021-01-23,0.071,0.12
Poland,POL,2021-01-24,0.068,0.12
Poland,POL,2021-01-25,0.075,0.19
Poland,POL,2021-01-26,0.09,0.31
Poland,POL,2021-01-27,0.105,0.38
Poland,POL,2021-01-28,0.112,0.45
Poland,POL,2021-01-29,0.11,0.49
Poland,POL,2021-01-30,0.109,0.5
Poland,POL,2021-01-31,0.113,0.5
Poland,POL,2021-02-01,0.107,0.58
Poland,POL,2021-02-02,0.097,0.73
Poland,POL,2021-02-03,0.093,0.86
Poland,POL,2021-02-04,0.091,0.99
Poland,POL,2021-02-05,0.089,1.07
Poland,POL,2021-02-06,0.087,1.1
Poland,POL,2021-02-07,0.082,1.13
Poland,POL,2021-02-08,0.09,
Poland,POL,2021-02-09,0.085,1.21
Poland,POL,2021-02-10,0.084,
Poland,POL,2021-02-11,0.087,1.46
Poland,POL,2021-02-12,0.091,1.57
Poland,POL,2021-02-13,0.095,1.61
Poland,POL,2021-02-14,0.097,1.62
Poland,POL,2021-02-15,0.09,1.65
Poland,POL,2021-02-16,0.089,1.73
Poland,POL,2021-02-17,0.093,1.94
Poland,POL,2021-02-18,0.1,2.17
Poland,POL,2021-02-19,0.107,2.3
Poland,POL,2021-02-20,0.11,2.32
Poland,POL,2021-02-21,0.111,2.33
Poland,POL,2021-02-22,0.116,2.35
Poland,POL,2021-02-23,0.127,
Poland,POL,2021-02-24,0.125,2.59
Poland,POL,2021-02-25,0.122,
Poland,POL,2021-02-26,0.128,2.93
Poland,POL,2021-02-27,0.127,
Poland,POL,2021-02-28,0.131,2.98
Poland,POL,2021-03-01,0.131,2.99
Poland,POL,2021-03-02,0.133,
Poland,POL,2021-03-03,0.136,3.21
Poland,POL,2021-03-04,0.141,3.43
Poland,POL,2021-03-05,0.134,
Poland,POL,2021-03-06,0.144,3.57
Poland,POL,2021-03-07,0.143,
Poland,POL,2021-03-08,0.136,3.6
Poland,POL,2021-03-09,0.135,3.63
Poland,POL,2021-03-10,0.144,
Poland,POL,2021-03-11,0.147,3.9
Poland,POL,2021-03-12,0.149,4.0
Poland,POL,2021-03-13,0.139,4.02
Poland,POL,2021-03-14,0.135,4.03
Poland,POL,2021-03-15,0.135,4.04
Poland,POL,2021-03-16,0.123,4.07
Poland,POL,2021-03-17,0.12,4.18
Poland,POL,2021-03-18,0.117,4.34
Poland,POL,2021-03-19,0.115,4.44
Poland,POL,2021-03-20,0.114,4.47
Poland,POL,2021-03-21,0.114,4.48
Poland,POL,2021-03-22,0.123,4.49
Poland,POL,2021-03-23,0.144,4.54
Poland,POL,2021-03-24,0.161,4.66
Poland,POL,2021-03-25,0.176,
Poland,POL,2021-03-26,0.205,4.94
Poland,POL,2021-03-27,0.216,
Poland,POL,2021-03-28,0.232,5.0
Poland,POL,2021-03-29,0.246,
Poland,POL,2021-03-30,0.243,5.07
Poland,POL,2021-03-31,0.253,5.12
Poland,POL,2021-04-01,0.269,5.16
Poland,POL,2021-04-02,0.272,5.19
Poland,POL,2021-04-03,0.261,
Poland,POL,2021-04-04,0.249,5.2
Poland,POL,2021-04-05,0.22,5.2
Poland,POL,2021-04-06,0.246,
Poland,POL,2021-04-07,0.243,5.24
Poland,POL,2021-04-08,0.273,5.26
Poland,POL,2021-04-09,0.288,
