,state,geoid,year,month,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k,date,date_str
0,Arizona,USA-04,2020,01,0.17,0.14,0.0,0.0,0.0,0.0,2020-01-01,2020-01
1,California,USA-06,2020,01,0.43,0.29,0.0,0.0,0.0,0.0,2020-01-01,2020-01
2,Illinois,USA-17,2020,01,0.25,0.18,0.0,0.0,0.0,0.0,2020-01-01,2020-01
3,Washington,USA-53,2020,01,0.09,0.14,0.0,0.0,0.0,0.0,2020-01-01,2020-01
4,Arizona,USA-04,2020,02,0.0,0.04,0.0,0.0,0.0,0.0,2020-02-01,2020-02
5,California,USA-06,2020,02,0.86,0.51,0.0,0.0,0.0,0.0,2020-02-01,2020-02
6,Illinois,USA-17,2020,02,0.03,0.12,0.0,0.0,0.0,0.0,2020-02-01,2020-02
7,Massachusetts,USA-25,2020,02,0.03,0.07,0.0,0.0,0.0,0.0,2020-02-01,2020-02
8,Nebraska,USA-31,2020,02,1.0,0.98,0.05,0.0,0.0,0.0,2020-02-01,2020-02
9,Oregon,USA-41,2020,02,0.5,0.14,0.0,0.0,0.0,0.0,2020-02-01,2020-02
10,Texas,USA-48,2020,02,0.61,0.45,0.0,0.0,0.0,0.0,2020-02-01,2020-02
11,Utah,USA-49,2020,02,0.2,0.14,0.0,0.0,0.0,0.0,2020-02-01,2020-02
12,Washington,USA-53,2020,02,0.31,0.14,0.0,0.03,0.0,0.0,2020-02-01,2020-02
13,Wisconsin,USA-55,2020,02,0.04,0.08,0.0,0.0,0.0,0.0,2020-02-01,2020-02
14,Alabama,USA-01,2020,03,52.58,38.04,0.78,0.74,0.13,0.0,2020-03-01,2020-03
15,Alaska,USA-02,2020,03,6.65,4.78,0.65,0.1,0.06,0.01,2020-03-01,2020-03
16,Arizona,USA-04,2020,03,41.84,26.29,0.36,0.77,0.41,0.01,2020-03-01,2020-03
17,Arkansas,USA-05,2020,03,26.86,20.04,0.66,0.38,0.12,0.0,2020-03-01,2020-03
18,California,USA-06,2020,03,275.97,183.85,0.47,5.94,3.81,0.01,2020-03-01,2020-03
19,Colorado,USA-08,2020,03,110.74,75.17,1.3,2.56,1.44,0.02,2020-03-01,2020-03
20,Connecticut,USA-09,2020,03,130.33,73.73,2.07,2.88,1.27,0.04,2020-03-01,2020-03
21,Delaware,USA-10,2020,03,15.19,9.81,1.01,0.48,0.21,0.02,2020-03-01,2020-03
22,District of Columbia,USA-11,2020,03,19.8,12.57,1.78,0.36,0.2,0.03,2020-03-01,2020-03
23,Florida,USA-12,2020,03,217.48,133.54,0.62,2.74,1.67,0.01,2020-03-01,2020-03
24,Georgia,USA-13,2020,03,137.2,83.12,0.78,4.2,2.42,0.02,2020-03-01,2020-03
25,Guam,USA-66,2020,03,8.18,3.67,2.18,0.12,0.08,0.04,2020-03-01,2020-03
26,Hawaii,USA-15,2020,03,8.62,5.74,0.41,0.04,0.0,0.0,2020-03-01,2020-03
27,Idaho,USA-16,2020,03,27.68,15.35,0.86,0.47,0.11,0.01,2020-03-01,2020-03
28,Illinois,USA-17,2020,03,193.19,122.74,0.97,3.45,1.71,0.01,2020-03-01,2020-03
29,Indiana,USA-18,2020,03,83.73,48.7,0.72,2.35,1.3,0.02,2020-03-01,2020-03
30,Iowa,USA-19,2020,03,20.75,12.58,0.4,0.29,0.14,0.0,2020-03-01,2020-03
31,Kansas,USA-20,2020,03,17.4,10.96,0.37,0.4,0.21,0.01,2020-03-01,2020-03
32,Kentucky,USA-21,2020,03,22.69,14.5,0.32,0.69,0.27,0.0,2020-03-01,2020-03
33,Louisiana,USA-22,2020,03,227.7,142.62,3.07,10.43,5.95,0.13,2020-03-01,2020-03
34,Maine,USA-23,2020,03,15.15,10.76,0.8,0.25,0.09,0.01,2020-03-01,2020-03
35,Maryland,USA-24,2020,03,61.56,37.91,0.63,0.67,0.27,0.0,2020-03-01,2020-03
36,Massachusetts,USA-25,2020,03,213.52,133.81,1.94,2.87,1.32,0.02,2020-03-01,2020-03
37,Michigan,USA-26,2020,03,346.77,214.75,2.15,12.0,5.67,0.06,2020-03-01,2020-03
38,Minnesota,USA-27,2020,03,24.19,17.44,0.31,0.46,0.2,0.0,2020-03-01,2020-03
39,Mississippi,USA-28,2020,03,44.62,31.5,1.06,0.95,0.39,0.01,2020-03-01,2020-03
40,Missouri,USA-29,2020,03,54.0,32.4,0.53,0.6,0.36,0.01,2020-03-01,2020-03
41,Montana,USA-30,2020,03,10.42,7.08,0.66,0.26,0.09,0.01,2020-03-01,2020-03
42,Nebraska,USA-31,2020,03,6.0,3.79,0.2,0.13,0.03,0.0,2020-03-01,2020-03
43,Nevada,USA-32,2020,03,41.22,27.96,0.91,0.96,0.47,0.01,2020-03-01,2020-03
44,New Hampshire,USA-33,2020,03,12.23,7.71,0.57,0.1,0.05,0.0,2020-03-01,2020-03
45,New Jersey,USA-34,2020,03,667.71,407.84,4.59,9.54,5.12,0.06,2020-03-01,2020-03
46,New Mexico,USA-35,2020,03,15.0,10.1,0.48,0.24,0.11,0.01,2020-03-01,2020-03
47,New York,USA-36,2020,03,2458.42,1723.13,8.86,62.23,32.14,0.17,2020-03-01,2020-03
48,North Carolina,USA-37,2020,03,52.66,34.17,0.33,0.34,0.09,0.0,2020-03-01,2020-03
49,North Dakota,USA-38,2020,03,6.0,3.78,0.5,0.14,0.06,0.01,2020-03-01,2020-03
50,Northern Mariana Islands,USA-69,2020,03,0.5,0.29,0.53,0.0,0.0,0.0,2020-03-01,2020-03
