date,location,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
2021-01-12,Alabama,0.15,
2021-01-13,Alabama,0.19,1205.0
2021-01-14,Alabama,,1445.0
2021-01-15,Alabama,0.28,1525.0
2021-01-16,Alabama,,1529.0
2021-01-17,Alabama,,1531.0
2021-01-18,Alabama,,1533.0
2021-01-19,Alabama,0.33,1534.0
2021-01-20,Alabama,0.37,1607.0
2021-01-21,Alabama,0.44,2145.0
2021-01-22,Alabama,0.51,2877.0
2021-01-23,Alabama,0.56,3304.0
2021-01-24,Alabama,0.61,3731.0
2021-01-25,Alabama,0.61,3711.0
2021-01-26,Alabama,0.63,3618.0
2021-01-27,Alabama,0.69,3707.0
2021-01-28,Alabama,0.76,3294.0
2021-01-29,Alabama,0.9,2960.0
2021-01-30,Alabama,1.1,3522.0
2021-01-31,Alabama,1.13,3212.0
2021-02-01,Alabama,1.15,3137.0
2021-02-02,Alabama,1.2,3407.0
2021-02-03,Alabama,1.28,3552.0
2021-02-04,Alabama,1.41,3771.0
2021-02-05,Alabama,1.56,3778.0
2021-02-06,Alabama,1.72,3285.0
2021-02-07,Alabama,1.76,3157.0
2021-02-08,Alabama,1.8,3186.0
2021-02-09,Alabama,1.94,3470.0
2021-02-10,Alabama,2.09,3714.0
2021-02-11,Alabama,2.26,3928.0
2021-02-12,Alabama,2.49,4094.0
2021-02-13,Alabama,2.71,4253.0
2021-02-14,Alabama,2.79,4368.0
2021-02-15,Alabama,,4569.0
2021-02-16,Alabama,3.04,4245.0
2021-02-17,Alabama,3.15,3911.0
2021-02-18,Alabama,3.37,3753.0
2021-02-19,Alabama,3.92,4895.0
2021-02-20,Alabama,4.37,5121.0
2021-02-21,Alabama,4.48,5138.0
2021-02-22,Alabama,4.65,4928.0
2021-02-23,Alabama,4.88,5198.0
2021-02-24,Alabama,5.17,5527.0
2021-02-25,Alabama,5.48,5615.0
2021-02-26,Alabama,5.83,4508.0
2021-02-27,Alabama,6.28,4491.0
2021-02-28,Alabama,6.39,4484.0
2021-03-01,Alabama,6.45,4510.0
2021-03-02,Alabama,6.73,4576.0
2021-03-03,Alabama,7.07,4671.0
2021-03-04,Alabama,7.45,4878.0
2021-03-05,Alabama,7.81,4974.0
2021-03-06,Alabama,8.2,4913.0
2021-03-07,Alabama,8.3,4884.0
2021-03-08,Alabama,8.36,4903.0
2021-03-09,Alabama,8.57,4919.0
2021-03-10,Alabama,8.87,5063.0
2021-03-11,Alabama,9.23,5175.0
2021-03-12,Alabama,9.63,5379.0
2021-03-13,Alabama,10.05,5493.0
2021-03-14,Alabama,10.15,5492.0
2021-03-15,Alabama,10.22,5528.0
2021-03-16,Alabama,10.44,5574.0
2021-03-17,Alabama,10.68,5541.0
2021-03-18,Alabama,10.88,5252.0
2021-03-19,Alabama,11.16,5171.0
2021-03-20,Alabama,11.45,5027.0
2021-03-21,Alabama,11.56,5071.0
2021-03-22,Alabama,11.61,5036.0
2021-03-23,Alabama,11.82,5161.0
2021-03-24,Alabama,12.03,5199.0
2021-03-25,Alabama,12.25,5507.0
2021-03-26,Alabama,12.48,5382.0
2021-03-27,Alabama,12.71,5392.0
2021-03-28,Alabama,12.82,5432.0
2021-03-29,Alabama,12.88,5457.0
2021-03-30,Alabama,13.12,5483.0
2021-03-31,Alabama,13.4,5429.0
2021-04-01,Alabama,13.74,5620.0
2021-04-02,Alabama,14.09,5887.0
2021-04-03,Alabama,14.38,5867.0
2021-04-04,Alabama,14.48,5819.0
2021-04-05,Alabama,14.51,5777.0
2021-04-06,Alabama,14.79,5806.0
2021-04-07,Alabama,15.19,6016.0
2021-04-08,Alabama,15.59,5954.0
2021-04-09,Alabama,16.08,6056.0
2021-04-10,Alabama,16.55,6354.0
2021-04-11,Alabama,16.71,6520.0
2021-04-12,Alabama,16.81,6632.0
2021-04-13,Alabama,17.22,6713.0
2021-04-14,Alabama,17.71,6808.0
2021-04-15,Alabama,18.21,6732.0
2021-04-16,Alabama,18.67,6533.0
2021-04-17,Alabama,19.08,6275.0
2021-04-18,Alabama,19.24,6109.0
2021-04-19,Alabama,19.3,5975.0
2021-04-20,Alabama,19.71,5840.0
2021-04-21,Alabama,20.14,5584.0
2021-04-22,Alabama,20.61,5446.0
2021-04-23,Alabama,21.09,5363.0
2021-04-24,Alabama,21.51,5268.0
2021-04-25,Alabama,21.67,5219.0
2021-04-26,Alabama,21.75,5264.0
2021-04-27,Alabama,22.02,5009.0
2021-04-28,Alabama,22.41,4874.0
2021-04-29,Alabama,22.87,4826.0
2021-04-30,Alabama,23.32,4706.0
2021-05-01,Alabama,23.69,4542.0
2021-05-02,Alabama,23.77,4408.0
2021-05-03,Alabama,23.83,4344.0
2021-05-04,Alabama,24.06,4224.0
2021-05-05,Alabama,24.45,4170.0
2021-05-06,Alabama,24.5,3299.0
2021-05-07,Alabama,25.3,3939.0
2021-05-08,Alabama,25.78,4097.0
2021-05-09,Alabama,25.92,4239.0
2021-05-10,Alabama,25.98,4262.0
2021-05-11,Alabama,25.98,3765.0
2021-05-12,Alabama,26.24,3517.0
2021-05-13,Alabama,26.81,4623.0
2021-05-14,Alabama,27.21,3882.0
2021-05-15,Alabama,27.49,3592.0
2021-05-16,Alabama,27.55,3435.0
2021-05-17,Alabama,27.55,3279.0
2021-05-18,Alabama,27.79,3836.0
2021-05-19,Alabama,27.79,3335.0
2021-05-20,Alabama,28.19,3127.0
2021-05-21,Alabama,28.29,2503.0
2021-05-22,Alabama,28.49,2370.0
2021-05-23,Alabama,28.71,2792.0
2021-05-24,Alabama,28.71,2795.0
2021-05-25,Alabama,28.87,2645.0
2021-05-26,Alabama,28.95,2812.0
2021-05-27,Alabama,29.03,1988.0
2021-05-28,Alabama,29.15,2078.0
2021-05-29,Alabama,29.2,1686.0
2021-05-30,Alabama,29.21,1151.0
2021-05-31,Alabama,,1159.0
2021-06-01,Alabama,29.23,755.0
2021-06-02,Alabama,29.27,661.0
2021-06-03,Alabama,29.28,533.0
2021-06-04,Alabama,29.37,465.0
2021-06-05,Alabama,29.37,361.0
2021-06-06,Alabama,29.41,396.0
2021-06-07,Alabama,29.43,424.0
2021-06-08,Alabama,29.43,424.0
2021-06-09,Alabama,29.48,443.0
2021-06-10,Alabama,29.78,1123.0
2021-06-11,Alabama,29.96,1331.0
2021-06-12,Alabama,30.29,2104.0
2021-06-13,Alabama,30.41,2319.0
2021-06-14,Alabama,30.59,2672.0
2021-06-15,Alabama,30.62,2705.0
2021-06-16,Alabama,30.77,2952.0
2021-06-17,Alabama,31.53,5508.0
2021-06-18,Alabama,31.55,5124.0
2021-06-19,Alabama,31.79,4956.0
2021-06-20,Alabama,31.86,4882.0
2021-06-21,Alabama,31.89,4584.0
2021-06-22,Alabama,31.96,4711.0
2021-06-23,Alabama,32.03,4577.0
2021-06-24,Alabama,32.12,1615.0
2021-06-25,Alabama,32.12,1592.0
2021-06-26,Alabama,32.2,1220.0
