date,vaccine,total_vaccinations
2021-01-12,Moderna,3835859
2021-01-12,Pfizer/BioNTech,5488697
2021-01-13,Moderna,4249795
2021-01-13,Pfizer/BioNTech,6025872
2021-01-15,Moderna,5122662
2021-01-15,Pfizer/BioNTech,7153268
2021-01-19,Moderna,6828561
2021-01-19,Pfizer/BioNTech,8874811
2021-01-20,Moderna,7239750
2021-01-20,Pfizer/BioNTech,9281063
2021-01-21,Moderna,7724683
2021-01-21,Pfizer/BioNTech,9817027
2021-01-22,Moderna,8407909
2021-01-22,Pfizer/BioNTech,10695066
2021-01-23,Moderna,9061112
2021-01-23,Pfizer/BioNTech,11471457
2021-01-24,Moderna,9689497
2021-01-24,Pfizer/BioNTech,12153536
2021-01-25,Moderna,10084432
2021-01-25,Pfizer/BioNTech,12551999
2021-01-26,Moderna,10431466
2021-01-26,Pfizer/BioNTech,13009981
2021-01-27,Moderna,11001991
2021-01-27,Pfizer/BioNTech,13550835
2021-01-28,Moderna,11737592
2021-01-28,Pfizer/BioNTech,14355980
2021-01-29,Moderna,12619210
2021-01-29,Pfizer/BioNTech,15164858
2021-01-30,Moderna,13499942
2021-01-30,Pfizer/BioNTech,15977015
2021-01-31,Moderna,14246089
2021-01-31,Pfizer/BioNTech,16775916
2021-02-01,Moderna,14756609
2021-02-01,Pfizer/BioNTech,17364398
2021-02-02,Moderna,15006565
2021-02-02,Pfizer/BioNTech,17672866
2021-02-03,Moderna,15567188
2021-02-03,Pfizer/BioNTech,18209204
2021-02-04,Moderna,16260102
2021-02-04,Pfizer/BioNTech,18841309
2021-02-05,Moderna,17133644
2021-02-05,Pfizer/BioNTech,19582865
2021-02-06,Moderna,18336515
2021-02-06,Pfizer/BioNTech,20598212
2021-02-07,Moderna,19485089
2021-02-07,Pfizer/BioNTech,21622193
2021-02-08,Moderna,20066305
2021-02-08,Pfizer/BioNTech,22247484
2021-02-09,Moderna,20416765
2021-02-09,Pfizer/BioNTech,22685406
2021-02-10,Moderna,21189540
2021-02-10,Pfizer/BioNTech,23475749
2021-02-11,Moderna,22038088
2021-02-11,Pfizer/BioNTech,24246868
2021-02-12,Moderna,23111715
2021-02-12,Pfizer/BioNTech,25192628
2021-02-13,Moderna,24297615
2021-02-13,Pfizer/BioNTech,26237417
2021-02-14,Moderna,25505313
2021-02-14,Pfizer/BioNTech,27271797
2021-02-16,Moderna,26738383
2021-02-16,Pfizer/BioNTech,28374410
2021-02-17,Moderna,27287041
2021-02-17,Pfizer/BioNTech,28886690
2021-02-18,Moderna,28043413
2021-02-18,Pfizer/BioNTech,29585627
2021-02-19,Moderna,29044336
2021-02-19,Pfizer/BioNTech,30431247
2021-02-20,Moderna,29909492
2021-02-20,Pfizer/BioNTech,31270062
2021-02-21,Moderna,30747615
2021-02-21,Pfizer/BioNTech,32232422
2021-02-22,Moderna,31212925
2021-02-22,Pfizer/BioNTech,32853883
2021-02-23,Moderna,31569021
2021-02-23,Pfizer/BioNTech,33352170
2021-02-24,Moderna,32194245
2021-02-24,Pfizer/BioNTech,34159027
2021-02-25,Moderna,33066503
2021-02-25,Pfizer/BioNTech,35095003
2021-02-26,Moderna,34181226
2021-02-26,Pfizer/BioNTech,36159403
2021-02-27,Moderna,35422721
2021-02-27,Pfizer/BioNTech,37269195
2021-02-28,Moderna,36694414
2021-02-28,Pfizer/BioNTech,38426567
2021-03-01,Moderna,37522293
2021-03-01,Pfizer/BioNTech,39262524
2021-03-02,Moderna,38319678
2021-03-02,Pfizer/BioNTech,40196532
2021-03-03,Moderna,39248180
